id,role,payment_status,trade_completed,joined_at,read_at,user_id,group_board_id
1,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,31,1
2,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,128,1
3,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,18,1
4,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,132,1
5,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,111,1
6,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,22,2
7,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,24,2
8,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,119,2
9,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,154,2
10,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,2
11,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,81,2
12,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,10,2
13,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,12,2
14,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,38,2
15,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,174,2
16,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,14,3
17,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,199,3
18,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,32,3
19,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,165,3
20,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,143,3
21,L,PAID,1,2025.6.13 22:00,,48,4
22,P,UNPAID,0,2025.6.13 22:00,,163,4
23,P,UNPAID,0,2025.6.13 22:00,,191,4
24,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,53,4
25,P,UNPAID,0,2025.6.13 22:00,,19,4
26,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,143,5
27,P,UNPAID,0,2025.6.13 22:00,,133,5
28,P,UNPAID,0,2025.6.13 22:00,,104,5
29,P,UNPAID,0,2025.6.13 22:00,,83,5
30,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,59,5
31,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,196,5
32,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,154,5
33,P,UNPAID,0,2025.6.13 22:00,,92,5
34,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,109,6
35,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,172,6
36,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,179,6
37,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,102,6
38,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,178,6
39,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,199,6
40,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,190,6
41,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,43,6
42,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,6
